Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
223.2910934303471	223.36047850305832	4.1142711424239386e-57	13.5780368435707	758.725434	45529.40316096	A	X	e	0	30	30	Pi	e	6	31	31	R(30)
223.30630993188873	223.37569824474127	2.2348420292062514e-46	26.726296288844	377.20494504	45144.83221416	A	X	e	0	21	21	Pi	f	6	21	21	Q(21)
223.31170163139547	223.38109109239292	3.2836039817970136e-58	13.5677523368708	809.22471424	45575.77120704	A	X	e	0	31	31	Pi	e	6	32	32	R(31)
223.32590704215082	223.39529952828923	2.5478127329811377e-47	26.7192618022388	413.09939176	45176.79863304	A	X	e	0	22	22	Pi	f	6	22	22	Q(22)
223.33323754872208	223.4026315960251	2.7806776564356788e-59	13.5576934003441	861.34219776	45623.57229576	A	X	e	0	32	32	Pi	e	6	33	33	R(32)
223.34640935074876	223.41580620336666	2.82462696185592e-48	26.711905031847	450.61985664	45210.21037056	A	X	e	0	23	23	Pi	f	6	23	23	Q(23)
223.35570393387042	223.42510276614627	2.0819450101168057e-60	13.5478257576378	915.07685544	45672.804954	A	X	e	0	33	33	Pi	e	6	34	34	R(33)
223.36781878798138	223.43722020074097	2.8357985559524365e-49	26.7042256419308	489.7656	45245.0664	A	X	e	0	24	24	Pi	f	6	24	24	Q(24)
223.37910362579046	223.4485074423761	1.0619587932600902e-61	13.5381189537067	970.427626	45723.467664	A	X	e	0	34	34	Pi	e	6	35	35	R(34)
223.39013736972387	223.45954353677706	2.4567292730021725e-50	26.6962232826303	530.53585	45281.36565	A	X	e	0	25	25	Pi	f	6	25	25	Q(25)
223.4034395511273	223.47284855205095	7.093360307969826e-63	13.5285458304666	1027.393416	45775.55886336	A	X	e	0	35	35	Pi	e	6	36	36	R(35)
223.40767307378388	223.47708297664732	8.612798241876696e-44	12.9842941980018	310.296904	45057.61446696	A	X	e	0	19	19	Pi	e	6	18	18	P(19)
223.41336719764087	223.4827783136503	2.0028413559429448e-51	26.6878975900244	572.92980264	45319.10700456	A	X	e	0	26	26	Pi	f	6	26	26	Q(26)
223.42871472451947	223.49812911052194	5.0914339551470536e-64	13.5190820863514	1085.97309984	45829.07694504	A	X	e	0	36	36	Pi	e	6	37	37	R(36)
223.4327193131247	223.5021345523978	9.168918574406231e-45	12.9984185212086	342.937224	45085.239216	A	X	e	0	20	20	Pi	e	6	19	19	P(20)
223.43751045940962	223.50692671956958	1.6827678921233368e-52	26.6792481861941	616.94662176	45358.28930304	A	X	e	0	27	27	Pi	f	6	27	27	Q(27)
