obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"310.547"	"310.5460"	"220"	"7.1e+06"	D+	"2216.550"	"34408.555"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"		"T4812"	"L3475"	
""	"310.7714"	""	"1.3e+05"	C+	"1332.164"	"33500.822"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"		"T4812"	""	
"311.412"	"311.4124"	"270"	"5.8e+06"	C+	"879.816"	"32982.260"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"1P*"	"1"		"T4812"	"L3475"	
""	"312.9305"	""	"5.3e+05"	D+	"2216.550"	"34163.264"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"		"T4812"	""	
"313.411"	"313.4104"	"2900"	"7.3e+07"	C+	"1713.087"	"33610.890"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"		"T4812"	"L3475"	
""	"314.5112"	""	"2.1e+04"	D+	"0.000"	"31786.162"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"		"T4812"	""	
"314.572"	"314.5705"	"55"	"8.0e+05"	C+	"1332.164"	"33112.334"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"		"T4812"	"L3475"	
""	"315.9521"	""	"3.0e+04"	C+	"1332.164"	"32973.376"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"4"		"T4812"	""	
""	"316.5507"	""	"4.3e+04"	D+	"204.787"	"31786.162"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"		"T4812"	""	
"318.437"	"318.4367"	"100"	"7.1e+05"	C+	"2216.550"	"33610.890"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"		"T4812"	"L3475"	
"319.557"	"319.5571"	"55"	"5.8e+05"	C+	"2216.550"	"33500.822"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"		"T4812"	"L3475"	
"319.711"	"319.7114"	"150"	"2.9e+06"	C+	"1713.087"	"32982.260"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"1P*"	"1"		"T4812"	"L3475"	
""	"320.0422"	""	"2.8e+05"	C	"204.787"	"31441.635"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"1D*"	"2"		"T4812"	""	
"322.165"	"322.1651"	"150"	"1.6e+06"	C	"0.000"	"31031.020"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).4p"	"1F*"	"3"		"T3861,T4812"	"L3475"	
"322.502"	"322.5019"	"210"	"9.3e+06"	C	"3409.937"	"34408.555"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"		"T3861,T4812"	"L3475"	
""	"322.6983"	""	"2.3e+05"	D	"0.000"	"30979.749"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"4"		"T3861"	""	
"323.296"	"323.2934"	"1100"	"7.3e+06"	C	"0.000"	"30922.734"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"5"		"T3861,T4812"	"L3475"	
"323.465"	"323.4648"	"290"	"2.0e+06"	C	"879.816"	"31786.162"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"		"T3861,T4812"	"L3475"	
""	"323.5754"	""	"6.4e+04"	C+	"2216.550"	"33112.334"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"		"T4812"	""	
"324.306"	"324.3055"	"600"	"4.8e+06"	C	"204.787"	"31031.020"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"1F*"	"3"		"T3861,T4812"	"L3475"	
"324.846"	"324.8458"	"100"	"4.7e+05"	C	"204.787"	"30979.749"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"4"		"T3861"	"L3475"	
""	"324.9435"	""	"4.1e+05"	C+	"2216.550"	"32982.260"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"1P*"	"1"		"T4812"	""	
"325.074"	"325.0743"	"120"	"2.2e+06"	C	"3409.937"	"34163.264"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"		"T4812"	"L3475"	
"327.112"	"327.1114"	"100"	"8.6e+05"	C	"879.816"	"31441.635"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"1D*"	"2"		"T3861,T4812"	"L3475"	
"328.270"	"328.2695"	"120"	"6.0e+05"	C	"1332.164"	"31786.162"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"		"T4812"	"L3475"	
""	"328.6945"	""	"4.7e+05"	C	"204.787"	"30619.414"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"3F*"	"2"		"T3861,T4812"	""	
""	"331.0201"	""	"1.2e+05"	C+	"3409.937"	"33610.890"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"		"T4812"	""	
"331.566"	"331.5663"	"660"	"5.3e+06"	C+	"879.816"	"31031.020"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"1F*"	"3"		"T3861"	"L3475"	
"332.026"	"332.0259"	"330"	"4.9e+06"	C	"1332.164"	"31441.635"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"1D*"	"2"		"T3861,T4812"	"L3475"	
"332.231"	"332.2310"	"310"	"5.8e+06"	C+	"3409.937"	"33500.822"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"		"T4812"	"L3475"	
""	"333.7009"	""	"8.3e+03"	D+	"204.787"	"30163.124"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"		"T4812"	""	
""	"335.1054"	""	"2.8e+03"	D+	"0.000"	"29832.779"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"3"		"T4812"	""	
"336.156"	"336.1554"	"330"	"4.8e+06"	C	"879.816"	"30619.414"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"3F*"	"2"		"T3861,T4812"	"L3475"	
""	"336.2804"	""	"2.1e+05"	D+	"1713.087"	"31441.635"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"1D*"	"2"		"T4812"	""	
"336.577"	"336.5765"	"330"	"5.4e+06"	C+	"3409.937"	"33112.334"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"		"T4812"	"L3475"	
"336.617"	"336.6166"	"330"	"4.0e+06"	D+	"1332.164"	"31031.020"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"1F*"	"3"		"T4812"	"L3475"	
"336.789"	"336.7886"	"65"	"1.9e+05"	D+	"204.787"	"29888.477"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"3D*"	"2"		"T4812"	"L3475"	
"336.957"	"336.9563"	"2900"	"1.8e+07"	C	"0.000"	"29668.918"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).4p"	"*"	"3"		"T3861,T4812"	"L3475"	
"337.199"	"337.1987"	"400"	"2.6e+06"	C	"1332.164"	"30979.749"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"4"		"T3861"	"L3475"	
"337.422"	"337.4217"	"260"	"1.5e+06"	C	"204.787"	"29832.779"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"3"		"T3861,T4812"	"L3475"	
"338.057"	"338.0569"	"3300"	"1.3e+08"	C+	"3409.937"	"32982.260"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"1P*"	"1"		"T4812"	"L3475"	
"338.085"	"338.0879"	"240"	"3.8e+06"	C	"2216.550"	"31786.162"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"		"T3861"	"L3475"	
"339.105"	"339.1043"	"1300"	"6.6e+06"	C	"0.000"	"29480.989"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).4p"	"3F*"	"4"		"T3861,T4812"	"L3475"	
"339.299"	"339.2983"	"3300"	"2.4e+07"	C+	"204.787"	"29668.918"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"*"	"3"		"T3861"	"L3475"	
"340.958"	"340.9574"	"130"	"3.7e+05"	C	"0.000"	"29320.762"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).4p"	"3F*"	"3"		"T3861,T4812"	"L3475"	
"341.348"	"341.3476"	"330"	"3.8e+06"	C	"1332.164"	"30619.414"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"3F*"	"2"		"T3861"	"L3475"	
"341.394"	"341.3935"	"330"	"2.2e+06"	D+	"879.816"	"30163.124"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"		"T4812"	"L3475"	
"341.476"	"341.4764"	"8200"	"5.5e+07"	C	"204.787"	"29480.989"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"3F*"	"4"		"T3861"	"L3475"	
""	"342.0737"	""	"9.9e+04"	D+	"2216.550"	"31441.635"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"1D*"	"2"		"T4812"	""	
"342.371"	"342.3707"	"1600"	"3.3e+07"	C	"1713.087"	"30912.817"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"3D*"	"1"		"T3861,T4812"	"L3475"	
"343.356"	"343.3556"	"2600"	"1.7e+07"	C+	"204.787"	"29320.762"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"3F*"	"3"		"T3861"	"L3475"	
"343.728"	"343.7277"	"990"	"4.4e+06"	C	"0.000"	"29084.456"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"4"		"T3861,T4812"	"L3475"	
"344.626"	"344.6259"	"4800"	"4.4e+07"	C+	"879.816"	"29888.477"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"3D*"	"2"		"T3861"	"L3475"	
"345.289"	"345.2889"	"1300"	"9.8e+06"	C+	"879.816"	"29832.779"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"3"		"T3861"	"L3475"	
"345.847"	"345.8460"	"5000"	"6.1e+07"	C+	"1713.087"	"30619.414"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"3F*"	"2"		"T3861"	"L3475"	
"346.165"	"346.1652"	"5000"	"2.7e+07"	C+	"204.787"	"29084.456"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"4"		"T3861"	"L3475"	
"346.750"	"346.7501"	"200"	"1.2e+06"	C	"1332.164"	"30163.124"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"		"T3861,T4812"	"L3475"	
"346.949"	"346.9485"	"240"	"1.3e+06"	C	"2216.550"	"31031.020"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"1F*"	"3"		"T3861"	"L3475"	
"347.254"	"347.2542"	"1600"	"1.2e+07"	C+	"879.816"	"29668.918"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"*"	"3"		"T3861"	"L3475"	
"348.377"	"348.3777"	"550"	"1.4e+07"	C	"2216.550"	"30912.817"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"3D*"	"1"		"T3861"	"L3475"	
"348.589"	"348.5884"	"130"	"1.3e+06"	C	"1713.087"	"30392.003"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"1"		"T3861,T4812"	"L3475"	
"349.296"	"349.2956"	"5500"	"9.8e+07"	C+	"879.816"	"29500.674"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"3P*"	"1"		"T3861"	"L3475"	
""	"349.8192"	""	"1.1e+03"	C	"0.000"	"28578.018"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"		"T3861"	""	
"350.085"	"350.0851"	"660"	"4.6e+06"	C	"1332.164"	"29888.477"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"3D*"	"2"		"T3861,T4812"	"L3475"	
"350.260"	"350.2594"	"65"	"1.5e+05"	C	"0.000"	"28542.105"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"5"		"T4812"	"L3475"	
"350.769"	"350.7693"	"55"	"2.4e+05"	C	"1332.164"	"29832.779"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"3"		"T4812"	"L3475"	
"351.034"	"351.0335"	"2600"	"1.2e+08"	C+	"1713.087"	"30192.251"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"3P*"	"0"		"T3861"	"L3475"	
"351.393"	"351.3929"	"260"	"1.1e+06"	C	"1713.087"	"30163.124"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"		"T3861"	"L3475"	
"351.505"	"351.5052"	"6600"	"4.2e+07"	C	"879.816"	"29320.762"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"3F*"	"3"		"T3861,T4812"	"L3475"	
"351.977"	"351.9765"	"660"	"4.1e+06"	C	"2216.550"	"30619.414"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"3F*"	"2"		"T3861"	"L3475"	
""	"352.3070"	""	"4.4e+04"	D+	"3409.937"	"31786.162"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"		"T4812"	""	
""	"352.3441"	""	"2.7e+05"	D+	"204.787"	"28578.018"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"		"T4812"	""	
"352.454"	"352.4536"	"8200"	"1.0e+08"	C	"204.787"	"28569.203"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"3P*"	"2"		"T3861,T4812"	"L3475"	
"352.798"	"352.7977"	"110"	"4.2e+05"	C	"1332.164"	"29668.918"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"*"	"3"		"T4812"	"L3475"	
"354.818"	"354.8183"	"330"	"2.9e+06"	D+	"1713.087"	"29888.477"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"3D*"	"2"		"T4812"	"L3475"	
"355.153"	"355.1532"	"55"	"1.6e+05"	E	"1332.164"	"29480.989"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"3F*"	"4"		"T2765n"	"L3475"	
"356.175"	"356.1751"	"65"	"2.9e+05"	C	"0.000"	"28068.065"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"4"		"T4812"	"L3475"	
"356.637"	"356.6372"	"5000"	"5.6e+07"	C	"3409.937"	"31441.635"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"1D*"	"2"		"T3861"	"L3475"	
"357.187"	"357.1864"	"990"	"5.2e+06"	C+	"1332.164"	"29320.762"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"3F*"	"3"		"T3861"	"L3475"	
""	"357.7235"	""	"1.6e+04"	D+	"2216.550"	"30163.124"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"		"T4812"	""	
"358.793"	"358.7929"	"130"	"2.6e+05"	C	"204.787"	"28068.065"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"4"		"T3861,T4812"	"L3475"	
"359.770"	"359.7703"	"1300"	"1.4e+07"	C	"1713.087"	"29500.674"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"3P*"	"1"		"T3861,T4812"	"L3475"	
""	"360.2278"	""	"4.4e+05"	C	"1332.164"	"29084.456"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"4"		"T4812"	""	
""	"360.9313"	""	"5.9e+05"	C	"879.816"	"28578.018"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"		"T3861,T4812"	""	
"361.046"	"361.0462"	"1300"	"7.2e+06"	C+	"879.816"	"28569.203"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).4p"	"3P*"	"2"		"T3861"	"L3475"	
"361.274"	"361.2740"	"530"	"4.2e+06"	C	"2216.550"	"29888.477"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"3D*"	"2"		"T3861"	"L3475"	
"361.939"	"361.9391"	"6600"	"6.6e+07"	C	"3409.937"	"31031.020"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"1F*"	"3"		"T3861,T4812"	"L3475"	
""	"362.0027"	""	"4.3e+03"	D+	"2216.550"	"29832.779"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"3"		"T4812"	""	
"362.473"	"362.4731"	"130"	"2.6e+05"	C	"0.000"	"27580.391"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"5"		"T4812"	"L3475"	
""	"364.1635"	""	"8.4e+03"	D+	"2216.550"	"29668.918"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"*"	"3"		"T4812"	""	
"366.410"	"366.4091"	"200"	"2.0e+06"	D+	"2216.550"	"29500.674"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"3P*"	"1"		"T4812"	"L3475"	
"366.924"	"366.9238"	"130"	"2.0e+05"	D+	"1332.164"	"28578.018"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"		"T4812"	"L3475"	
"367.043"	"367.0426"	"180"	"6.1e+05"	D+	"1332.164"	"28569.203"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"3P*"	"2"		"T4812"	"L3475"	
""	"367.4062"	""	"2.7e+05"	D	"204.787"	"27414.868"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"2"		"T3861"	""	
"367.415"	"367.4144"	"260"	"2.0e+06"	D+	"3409.937"	"30619.414"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3F*"	"2"		"T4812"	"L3475"	
"368.842"	"368.8414"	"160"	"4.5e+05"	D+	"2216.550"	"29320.762"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"3F*"	"3"		"T4812"	"L3475"	
"372.248"	"372.2488"	"120"	"8.0e+05"	D+	"1713.087"	"28569.203"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).4p"	"3P*"	"2"		"T4812"	"L3475"	
"373.681"	"373.6810"	"150"	"1.4e+06"	E	"3409.937"	"30163.124"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"		"T3861"	"L3475"	
"373.923"	"373.9226"	"60"	"2.4e+05"	E	"1332.164"	"28068.065"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"4"		"T3861"	"L3475"	
""	"374.9044"	""	"2.7e+04"	C	"0.000"	"26665.887"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"		"T3861"	""	
"377.557"	"377.5571"	"600"	"4.2e+06"	C	"3409.937"	"29888.477"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3D*"	"2"		"T3861"	"L3475"	
"378.353"	"378.3530"	"700"	"3.3e+06"	C	"3409.937"	"29832.779"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"3"		"T3861"	"L3475"	
""	"379.2339"	""	"3.8e+04"	D+	"2216.550"	"28578.018"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"		"T4812"	""	
""	"379.3607"	""	"1.8e+05"	D+	"2216.550"	"28569.203"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).4p"	"3P*"	"2"		"T4812"	""	
"380.714"	"380.7140"	"700"	"4.3e+06"	C	"3409.937"	"29668.918"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"*"	"3"		"T3861"	"L3475"	
"383.169"	"383.1691"	"110"	"1.5e+06"	C	"3409.937"	"29500.674"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3P*"	"1"		"T3861"	"L3475"	
""	"383.2871"	""	"2.0e+04"	C	"1332.164"	"27414.868"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"2"		"T3861"	""	
"385.830"	"385.8297"	"1200"	"6.9e+06"	C	"3409.937"	"29320.762"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3F*"	"3"		"T3861"	"L3475"	
""	"388.5870"	""	"4.1e+03"	C	"2216.550"	"27943.524"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"1"		"T3861"	""	
""	"394.6191"	""	"2.1e+02"	C	"1332.164"	"26665.887"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"		"T3861"	""	
"397.356"	"397.3555"	"110"	"3.8e+05"	D+	"3409.937"	"28569.203"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3P*"	"2"		"T4812"	"L3475"	
""	"401.0010"	""	"8.6e+05"	E	"29320.762"	"54251.308"	"3d9.(2D).4p"	"3F*"	"3"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
""	"402.7663"	""	"1.3e+07"	D	"31441.635"	"56262.913"	"3d9.(2D).4p"	"1D*"	"2"	"3d9.(2D<3/2>).5d"	"2[5/2]"	"3"		"T4287"	""	
""	"403.5949"	""	"4.8e+05"	E	"29480.989"	"54251.308"	"3d9.(2D).4p"	"3F*"	"4"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
""	"409.3616"	""	"9.0e+01"	C	"1332.164"	"25753.553"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"4"		"T3861"	""	
""	"420.0454"	""	"1.8e+06"	D	"26665.887"	"50466.131"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"	"3d8.4s.(4F).5s"	"3F"	"4"		"T4287"	""	
""	"429.5882"	""	"1.7e+07"	D	"30979.749"	"54251.308"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"4"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
""	"433.1642"	""	"5.6e+05"	D+	"13521.347"	"36600.791"	"3d8.(1D).4s2"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T4812"	""	
""	"438.2874"	""	"1.5e+06"	E	"31441.635"	"54251.308"	"3d9.(2D).4p"	"1D*"	"2"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
"440.155"	"440.1541"	"110"	"3.8e+07"	D	"25753.553"	"48466.490"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"4"	"3d8.4s.(4F).5s"	"5F"	"5"		"T2765"	"L3475"	
""	"441.0518"	""	"3.2e+06"	D	"26665.887"	"49332.593"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"	"3d9.(2D<5/2>).4d"	"2[7/2]"	"4"		"T4287"	""	
""	"443.1033"	""	"4.1e+06"	D	"33610.890"	"56172.657"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"	"3d9.(2D<3/2>).5d"	"2[7/2]"	"3"		"T4287"	""	
""	"443.7571"	""	"2.8e+06"	D	"29668.918"	"52197.444"	"3d9.(2D).4p"	"*"	"3"	"3d9.(2D<5/2>).6s"	"2[5/2]"	"3"		"T4287"	""	
""	"445.0091"	""	"8.2e+05"	E	"31786.162"	"54251.308"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
"446.246"	"446.2455"	"18"	"1.7e+07"	D	"27943.524"	"50346.427"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"1"	"3d8.4s.(4F).5s"	"5F"	"2"		"T4287"	"L3475"	
"447.048"	"447.0477"	"55"	"1.9e+07"	D	"27414.868"	"49777.569"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"2"	"3d8.4s.(4F).5s"	"5F"	"3"		"T4287"	"L3475"	
""	"451.2990"	""	"2.2e+06"	D	"29888.477"	"52040.523"	"3d9.(2D).4p"	"3D*"	"2"	"3d8.4s.(4F).5s"	"3F"	"2"		"T4287"	""	
""	"451.9983"	""	"6.1e+04"	D+	"13521.347"	"35639.122"	"3d8.(1D).4s2"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T4812"	""	
""	"452.3142"	""	"3.2e-01"	D	"0.000"	"22102.325"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(1G).4s2"	"1G"	"4"	M1	"T848"	""	
""	"452.3142"	""	"2.2e-04"	E	"0.000"	"22102.325"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(1G).4s2"	"1G"	"4"	E2	"T848"	""	
""	"455.1224"	""	"6.1e+06"	D	"33610.890"	"55576.843"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"	"3d8.4s.(2F).5s"	"3F"	"3"		"T4287"	""	
""	"455.3168"	""	"7.0e+06"	D	"29500.674"	"51457.250"	"3d9.(2D).4p"	"3P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"		"T4287"	""	
""	"456.5444"	""	"7.9e-04"	E	"204.787"	"22102.325"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(1G).4s2"	"1G"	"4"	E2	"T848"	""	
""	"456.7410"	""	"1.4e+05"	D	"28578.018"	"50466.131"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"	"3d8.4s.(4F).5s"	"3F"	"4"		"T4287"	""	
"460.037"	"460.0359"	"18"	"2.6e+07"	D	"29013.206"	"50744.552"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"2"	"3d8.4s.(4F).5s"	"5F"	"1"		"T4287"	"L3475"	
