obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"208.5352"	""	"7.7e+06"	C	"879.816"	"48818.097"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"1P*"	"1"		"T3861"	""	
""	"208.5555"	""	"2.6e+08"	D	"3409.937"	"51343.547"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(1G).4s.4p.(3P*)"	"3F*"	"2"		"T3861"	""	
""	"208.8961"	""	"4.2e+06"	D	"879.816"	"48735.290"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"3P*"	"2"		"T3861"	""	
""	"208.9070"	""	"9.7e+06"	D	"1332.164"	"49185.138"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3P).4s.4p.(3P*)"	"1D*"	"2"		"T3861"	""	
""	"209.5123"	""	"1.1e+07"	E	"3409.937"	"51124.662"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(1G).4s.4p.(3P*)"	"3F*"	"3"		"T3861"	""	
""	"210.5835"	""	"3.0e+06"	C	"1713.087"	"49185.138"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3P).4s.4p.(3P*)"	"1D*"	"2"		"T3861"	""	
""	"210.9774"	""	"1.5e+06"	C	"1332.164"	"48715.586"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).5p"	"3F*"	"4"		"T3861"	""	
""	"211.1715"	""	"6.5e+06"	C	"1332.164"	"48672.049"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).5p"	"1F*"	"3"		"T3861"	""	
""	"211.4410"	""	"9.7e+06"	C	"3409.937"	"50689.489"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).5p"	"3D*"	"2"		"T3861"	""	
""	"212.1390"	""	"2.8e+07"	C	"204.787"	"47328.784"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3P).4s.4p.(3P*)"	"5S*"	"2"		"T3861"	""	
""	"212.4806"	""	"3.8e+07"	C	"3409.937"	"50458.192"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).5p"	"1P*"	"1"		"T3861"	""	
""	"212.5626"	""	"5.1e+06"	C	"0.000"	"47030.102"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"3"		"T3861"	""	
""	"212.8410"	""	"5.6e+06"	C	"2216.550"	"49185.138"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3P).4s.4p.(3P*)"	"1D*"	"2"		"T3861"	""	
""	"212.9954"	""	"4.2e+06"	C	"204.787"	"47139.337"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"2"		"T3861"	""	
""	"214.7784"	""	"4.7e+07"	C	"879.816"	"47424.785"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"1"		"T3861"	""	
""	"215.1921"	""	"3.2e+06"	C	"2216.550"	"48672.049"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).5p"	"1F*"	"3"		"T3861"	""	
""	"215.2223"	""	"3.2e+06"	C	"879.816"	"47328.784"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"5S*"	"2"		"T3861"	""	
""	"215.7828"	""	"4.1e+07"	C	"879.816"	"47208.149"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"1"		"T3861"	""	
""	"215.8306"	""	"6.9e+07"	C	"204.787"	"46522.866"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"2"		"T3861"	""	
""	"216.1038"	""	"1.3e+07"	C	"879.816"	"47139.337"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"2"		"T3861"	""	
""	"216.6154"	""	"6.6e+06"	C	"879.816"	"47030.102"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"3"		"T3861"	""	
""	"217.3541"	""	"1.5e+07"	E	"3409.937"	"49403.386"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3S*"	"1"		"T3861"	""	
""	"217.4485"	""	"8.9e+07"	E	"1713.087"	"47686.587"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"0"		"T3861"	""	
""	"218.2381"	""	"1.3e+07"	C	"1332.164"	"47139.337"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"2"		"T3861"	""	
""	"218.3905"	""	"1.2e+07"	D	"3409.937"	"49185.138"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"1D*"	"2"		"T3861"	""	
""	"219.0229"	""	"3.0e+07"	C	"879.816"	"46522.866"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"2"		"T3861"	""	
""	"219.1192"	""	"4.6e+06"	E	"3409.937"	"49032.926"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).5p"	"1D*"	"2"		"T3861"	""	
""	"219.7354"	""	"7.8e+07"	C	"1713.087"	"47208.149"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"1"		"T3861"	""	
""	"220.0683"	""	"8.2e+06"	C	"1713.087"	"47139.337"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3P).4s.4p.(3P*)"	"3D*"	"2"		"T3861"	""	
""	"220.1560"	""	"7.3e+07"	C	"3409.937"	"48818.097"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"1P*"	"1"		"T3861"	""	
""	"221.2155"	""	"5.8e+06"	D	"1332.164"	"46522.866"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"2"		"T3861"	""	
""	"222.1946"	""	"2.2e+07"	D	"2216.550"	"47208.149"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"1"		"T3861"	""	
""	"223.0962"	""	"5.2e+06"	E	"1713.087"	"46522.866"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3P).4s.4p.(3P*)"	"3P*"	"2"		"T3861"	""	
""	"224.4528"	""	"3.8e+07"	C	"879.816"	"45418.804"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"2"		"T3861"	""	
""	"225.1490"	""	"4.0e+06"	D	"879.816"	"45281.089"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"3"		"T3861"	""	
""	"225.3572"	""	"1.9e+07"	C	"204.787"	"44565.037"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"3"		"T3861"	""	
""	"225.4800"	""	"9.6e+06"	C	"0.000"	"44336.10"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3P).4s.4p.(3P*)"	"*"	"4"		"T3861"	""	
""	"225.8151"	""	"1.7e+07"	C	"204.787"	"44475.099"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"2"		"T3861"	""	
""	"225.9567"	""	"2.0e+07"	C	"879.816"	"45122.383"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"1"		"T3861"	""	
""	"226.1431"	""	"9.1e+06"	C	"0.000"	"44206.099"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3P).4s.4p.(3P*)"	"5D*"	"3"		"T3861"	""	
""	"226.6353"	""	"2.3e+06"	D	"204.787"	"44314.904"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"4"		"T3861"	""	
""	"226.7560"	""	"8.0e+06"	D	"1332.164"	"45418.804"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"2"		"T3861"	""	
""	"227.1957"	""	"5.0e+06"	C	"204.787"	"44206.099"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3P).4s.4p.(3P*)"	"5D*"	"3"		"T3861"	""	
""	"227.4666"	""	"5.2e+06"	D	"1332.164"	"45281.089"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"3"		"T3861"	""	
""	"228.7325"	""	"1.8e+07"	D	"1713.087"	"45418.804"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"2"		"T3861"	""	
""	"228.8398"	""	"8.1e+06"	D	"879.816"	"44565.037"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"3"		"T3861"	""	
"228.998"	"228.9984"	"1600"	"2.1e+08"	C	"0.000"	"43654.974"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(1P*)"	"*"	"3"		"T3861"	"L3475"	
""	"229.3119"	""	"3.8e+07"	C	"879.816"	"44475.099"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"2"		"T3861"	""	
"230.078"	"230.0778"	"630"	"7.5e+07"	C	"204.787"	"43654.974"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(1P*)"	"*"	"3"		"T3861"	"L3475"	
""	"230.2945"	""	"4.5e+07"	C	"1713.087"	"45122.383"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"1"		"T3861"	""	
""	"230.7358"	""	"1.6e+07"	C	"879.816"	"44206.099"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"5D*"	"3"		"T3861"	""	
