1.963870000000000005e+02	1.963824200434621616e+02	1.681311394166889557e-25	1.138878528400116028e-25	2.216872775086594460e-25	3.092276698621367246e-26
1.968918999999999926e+02	1.968872910268248404e+02	3.586096466673998871e-25	2.843160391485626767e-25	4.612496146205009927e-25	5.906177891497881511e-26
1.976889999999999930e+02	1.976843720479718911e+02	8.730668236516733898e-24	6.923408437744603467e-24	1.082851282160207808e-23	1.128415893645444114e-24
1.977165999999999997e+02	1.977120523910047609e+02	2.970834897945480059e-36	5.546809008261392134e-37	7.920383853079945477e-36	2.122095425301782977e-36
1.981621000000000095e+02	1.981575298269283110e+02	5.026808184638182388e-26	3.947777201753300821e-26	6.858054491613274240e-26	9.685976642813664448e-27
1.990253999999999905e+02	1.990207767939140808e+02	1.251808090200666888e-24	1.082736437843866059e-24	1.537548092017350739e-24	1.489400273221081436e-25
1.994300000000000068e+02	1.994258055156589933e+02	4.406791780282489018e-25	3.708218578290676945e-25	5.574371788245123494e-25	5.348327129052982540e-26
2.000497000000000014e+02	2.001098965143827684e+02	4.541448774323462757e-26	3.014468081192480224e-26	5.923915014310603667e-26	8.703022820722306102e-27
2.001829999999999927e+02	2.002436156362606141e+02	5.620736314097088667e-25	4.452568807440888846e-25	6.743683780728679740e-25	6.587516223263808991e-26
2.006992999999999938e+02	2.007595649305022789e+02	1.293947660850603200e-25	1.087777140746034191e-25	1.530460794780381118e-25	1.276781885752085744e-26
2.007684999999999889e+02	2.008288132242448967e+02	1.345161925445504645e-25	9.304365033204701745e-26	1.768614837686138328e-25	2.805648581738296561e-26
2.014241000000000099e+02	2.014844972384013317e+02	3.536721427451191418e-25	2.909694666810087918e-25	5.109486426143714487e-25	7.662094947556324826e-26
2.025389000000000124e+02	2.025994780067717329e+02	1.734736627043410611e-25	1.234781329451203856e-25	2.658149549356811847e-25	5.207177967129125048e-26
2.026588000000000136e+02	2.027193460124502451e+02	6.528108919790600175e-25	5.696566860756249211e-25	7.953934236691831397e-25	6.851516129102614421e-26
2.029269999999999925e+02	2.029874658183634608e+02	1.746978838317735859e-25	1.544007745569633516e-25	2.152101675506983797e-25	1.642667849730884389e-26
2.030186999999999955e+02	2.030793282957104111e+02	5.924023491296145933e-38	2.989374945370995691e-39	1.042751625733079122e-37	2.953841028625088960e-38
2.033546000000000049e+02	2.034152850969034034e+02	2.410596056690113497e-26	1.393711446505532530e-26	3.532124921329009015e-26	6.660650932970593572e-27
2.041143999999999892e+02	2.041752328153992835e+02	2.394919681981451255e-26	1.606991686733771300e-26	4.150809691974955514e-26	7.614325655582925808e-27
2.047342999999999904e+02	2.047951956721222757e+02	1.219490823195335466e-24	7.760506636542595826e-25	1.560257894843654613e-24	2.563296981687308192e-25
2.050831000000000017e+02	2.051440504807731031e+02	6.161019624485944033e-26	2.822467524232768888e-27	1.290716792402375889e-25	3.948100125504060114e-26
2.052074000000000069e+02	2.052683566366334276e+02	1.047725433802529269e-24	7.700440712191443752e-25	1.292835380227757626e-24	1.718508564975098697e-25
2.052434000000000083e+02	2.053044272402540003e+02	2.547642201863878885e-26	2.018331076949654264e-26	3.253209173513930533e-26	3.575680098828351153e-27
2.053909999999999911e+02	2.054519685581880424e+02	2.979110441337081451e-26	1.440894755832882778e-26	4.747255160331084312e-26	9.011121164915224309e-27
2.055489000000000033e+02	2.056099609315693328e+02	2.701089761711685297e-25	2.497764854929098493e-25	3.278857076112957455e-25	2.919438038273171154e-26
2.059901000000000124e+02	2.060511979612201117e+02	1.827675864392534736e-24	1.316265426400078768e-24	2.634487190272319063e-24	4.603275834014802545e-25
2.060194999999999936e+02	2.060806383539089950e+02	3.151110374169256042e-26	3.153908387493687879e-28	5.093547636084652105e-26	1.944004481192340496e-26
2.062347000000000037e+02	2.062958938968109237e+02	3.407307130349587522e-26	9.056685569601156655e-27	5.660906512113410319e-26	1.611626949753527884e-26
2.063394999999999868e+02	2.064007060556023987e+02	1.335765346333861538e-25	7.849788921470465829e-26	1.751453152312235396e-25	3.171178483703251543e-26
2.064372999999999934e+02	2.064985373227308116e+02	7.395430573673943975e-25	3.919635552342748569e-25	1.245004451692056534e-24	2.568004341602837777e-25
2.069505000000000052e+02	2.070117301114479176e+02	5.194763214647487962e-25	3.215286633565789868e-25	8.142141496277237949e-25	1.571685846182296427e-25
2.080619000000000085e+02	2.081233612545739504e+02	2.788217123384423640e-35	3.688483131872903742e-37	5.617287076602659410e-35	1.928361663313503099e-35
2.082845000000000084e+02	2.083459721875555886e+02	2.249599275245556748e-25	1.850831633693887842e-25	2.658173409104200271e-25	2.645697627089494053e-26
2.085352000000000032e+02	2.085967221229853124e+02	1.792265464882157418e-25	1.299882869689436762e-25	2.573948312205729488e-25	4.435786252997742016e-26
2.085554999999999950e+02	2.086170493065426399e+02	9.549554037819942094e-25	7.902038817008337720e-25	1.699002416638909670e-24	3.055474949458196711e-25
2.088960999999999899e+02	2.089576686840587172e+02	3.604508068208750503e-25	2.072622236758970947e-25	4.972506616880254814e-25	1.074176710076132932e-25
2.089070000000000107e+02	2.089685853341233326e+02	4.537940089712197800e-25	2.579330534384205685e-25	6.273977253791126780e-25	1.508594114198792467e-25
2.095123000000000104e+02	2.095740524714454125e+02	1.575481299041675651e-25	4.538024614740090943e-27	3.199324956071161603e-25	1.053951136230053079e-25
2.105834999999999866e+02	2.106453812330667574e+02	1.392314481275448297e-25	1.073214057391902935e-25	2.108625720238569093e-25	2.862465657531774570e-26
