State	Vibr.	J	Energy	Index
X	3	45	5426.407785	221
X	4	23	5448.4599296	222
X	4	24	5486.468	223
X	3	46	5499.4196106	224
X	4	25	5526.053125	225
X	4	26	5567.2144946	226
X	3	47	5573.9950464	227
X	4	27	5609.9512664	228
X	3	48	5650.1325696	229
X	4	28	5654.2625656	230
X	4	29	5700.147485	231
X	3	49	5727.830625	232
X	4	30	5747.605085	233
X	4	31	5796.6343936	234
X	3	50	5807.087625	235
X	4	32	5847.2344064	236
X	4	33	5899.4040866	237
X	4	34	5953.142365	238
X	4	35	6008.44814	239
X	4	36	6065.3202776	240
X	4	37	6123.7576114	241
X	4	38	6183.7589426	242
X	5	0	6231.33	243
X	5	1	6232.9049346	244
X	5	2	6236.0547714	245
X	5	3	6240.7794456	246
X	4	39	6245.32304	247
X	5	4	6247.07886	248
X	5	5	6254.952885	249
X	5	6	6264.4013586	250
X	5	7	6275.4240864	251
X	5	8	6288.0208416	252
X	5	9	6302.191365	253
X	4	40	6308.44864	254
X	5	10	6317.935365	255
X	5	11	6335.2525176	256
X	5	12	6354.1424664	257
X	4	41	6373.1344466	258
X	5	13	6374.6048226	259
X	5	14	6396.639165	260
X	5	15	6420.24504	261
X	4	42	6439.3791314	262
X	5	16	6445.4219616	263
X	5	17	6472.1694114	264
X	5	18	6500.4868386	265
X	4	43	6507.1813336	266
X	5	19	6530.37366	267
X	5	20	6561.82926	268
X	4	44	6576.53966	269
X	5	21	6594.8529906	270
X	5	22	6629.4441714	271
X	4	45	6647.452685	272
X	5	23	6665.6020896	273
X	5	24	6703.326	274
X	4	46	6719.9189506	275
X	5	25	6742.615125	276
X	5	26	6783.4686546	277
X	4	47	6793.9369664	278
X	5	27	6825.8857464	279
X	4	48	6869.5052096	280
X	5	28	6869.8655256	281
X	5	29	6915.407085	282
X	4	49	6946.622125	283
X	5	30	6962.509485	284
X	5	31	7011.1717536	285
X	4	50	7025.286125	286
X	5	32	7061.3928864	287
X	5	33	7113.1718466	288
X	5	34	7166.507565	289
X	5	35	7221.39894	290
X	5	36	7277.8448376	291
X	5	37	7335.8440914	292
X	5	38	7395.3955026	293
X	6	0	7438.87	294
X	6	1	7440.4330746	295
X	6	2	7443.5591914	296
X	6	3	7448.2482856	297
X	6	4	7454.50026	298
X	5	39	7456.49784	299
X	6	5	7462.314985	300
X	6	6	7471.6922986	301
X	6	7	7482.6320064	302
X	6	8	7495.1338816	303
X	6	9	7509.197665	304
X	5	40	7519.14984	305
X	6	10	7524.823065	306
X	6	11	7542.0097576	307
X	6	12	7560.7573864	308
X	6	13	7581.0655626	309
X	5	41	7583.3502066	310
X	6	14	7602.933865	311
X	6	15	7626.36184	312
X	5	42	7649.0976114	313
X	6	16	7651.3490016	314
X	6	17	7677.8948314	315
X	6	18	7705.9987786	316
X	5	43	7716.3906936	317
X	6	19	7735.66026	318
X	6	20	7766.87866	319
X	5	44	7785.22806	320
X	6	21	7799.6533306	321
X	6	22	7833.9835914	322
X	5	45	7855.608285	323
X	6	23	7869.8687296	324
X	6	24	7907.308	325
X	5	46	7927.5299106	326
X	6	25	7946.300625	327
X	6	26	7986.8457946	328
X	5	47	8000.9914464	329
X	6	27	8028.9426664	330
X	6	28	8072.5903656	331
X	5	48	8075.9913696	332
X	6	29	8117.787985	333
X	5	49	8152.528125	334
X	6	30	8164.534585	335
X	6	31	8212.8291936	336
X	5	50	8230.600125	337
X	6	32	8262.6708064	338
X	6	33	8314.0583866	339
X	6	34	8366.990865	340
X	6	35	8421.46714	341
X	6	36	8477.4860776	342
X	6	37	8535.0465114	343
X	6	38	8594.1472426	344
X	7	0	8633.55	345
X	7	1	8635.1012346	346
X	7	2	8638.2036714	347
X	7	3	8642.8572456	348
X	7	4	8649.06186	349
X	6	39	8654.78704	350
X	7	5	8656.817385	351
X	7	6	8666.1236586	352
X	7	7	8676.9804864	353
X	7	8	8689.3876416	354
X	7	9	8703.344865	355
X	6	40	8716.96464	356
X	7	10	8718.851865	357
X	7	11	8735.9083176	358
X	7	12	8754.5138664	359
X	7	13	8774.6681226	360
X	6	41	8780.6787466	361
X	7	14	8796.370665	362
X	7	15	8819.62104	363
X	7	16	8844.4187616	364
X	6	42	8845.9280314	365
X	7	17	8870.7633114	366
X	7	18	8898.6541386	367
X	6	43	8912.7111336	368
X	7	19	8928.09066	369
X	7	20	8959.07226	370
X	6	44	8981.02666	371
X	7	21	8991.5982906	372
X	7	22	9025.6680714	373
X	6	45	9050.873185	374
X	7	23	9061.2808896	375
X	7	24	9098.436	376
X	6	46	9122.2492506	377
X	7	25	9137.132625	378
X	7	26	9177.3699546	379
X	6	47	9195.1533664	380
X	7	27	9219.1471464	381
X	7	28	9262.4633256	382
X	6	48	9269.5840096	383
X	7	29	9307.317585	384
X	6	49	9345.539625	385
X	7	30	9353.708985	386
X	7	31	9401.6365536	387
X	6	50	9423.018625	388
X	7	32	9451.0992864	389
X	7	33	9502.0961466	390
X	7	34	9554.626065	391
X	7	35	9608.68794	392
X	7	36	9664.2806376	393
X	7	37	9721.4029914	394
X	7	38	9780.0538026	395
X	8	0	9815.4	396
X	8	1	9816.9393746	397
X	8	2	9820.0180914	398
X	8	3	9824.6360856	399
X	8	4	9830.79326	400
X	8	5	9838.489485	401
X	7	39	9840.23184	402
X	8	6	9847.7245986	403
X	8	7	9858.4984064	404
X	8	8	9870.8106816	405
X	8	9	9884.661165	406
X	8	10	9900.049565	407
X	7	40	9901.93584	408
X	8	11	9916.9755576	409
X	8	12	9935.4387864	410
X	8	13	9955.4388626	411
X	7	41	9965.1645066	412
X	8	14	9976.975365	413
X	8	15	10000.04784	414
X	8	16	10024.6558016	415
X	7	42	10029.9165114	416
X	8	17	10050.7987314	417
X	8	18	10078.4760786	418
X	7	43	10096.1904936	419
X	8	19	10107.68726	420
X	8	20	10138.43166	421
X	7	44	10163.98506	422
X	8	21	10170.7086306	423
X	8	22	10204.5174914	424
X	7	45	10233.298785	425
X	8	23	10239.8575296	426
X	8	24	10276.728	427
X	7	46	10304.1302106	428
X	8	25	10315.128125	429
X	8	26	10355.0570946	430
X	7	47	10376.4778464	431
X	8	27	10396.5140664	432
X	8	28	10439.4981656	433
X	7	48	10450.3401696	434
X	8	29	10484.008485	435
X	7	49	10525.715625	436
X	8	30	10530.044085	437
X	8	31	10577.6039936	438
X	7	50	10602.602625	439
X	8	32	10626.6872064	440
X	8	33	10677.2926866	441
X	8	34	10729.419365	442
X	8	35	10783.06614	443
X	8	36	10838.2318776	444
X	8	37	10894.9154114	445
X	8	38	10953.1155426	446
X	8	39	11012.83104	447
X	8	40	11074.06064	448
X	8	41	11136.8030466	449
X	8	42	11201.0569314	450
X	8	43	11266.8209336	451
X	8	44	11334.09366	452
X	8	45	11402.873685	453
X	8	46	11473.1595506	454
X	8	47	11544.9497664	455
X	8	48	11618.2428096	456
X	8	49	11693.037125	457
X	8	50	11769.331125	458
Pi	0	1	38794.1046332	459
Pi	0	2	38797.2338588	460
Pi	0	3	38801.9275952	461
Pi	0	4	38808.18572	462
Pi	0	5	38816.00807	463
Pi	0	6	38825.3944412	464
Pi	0	7	38836.3445888	465
Pi	0	8	38848.8582272	466
Pi	0	9	38862.93503	467
Pi	0	10	38878.57463	468
Pi	0	11	38895.7766192	469
Pi	0	12	38914.5405488	470
Pi	0	13	38934.8659292	471
Pi	0	14	38956.75223	472
Pi	0	15	38980.19888	473
Pi	0	16	39005.2052672	474
Pi	0	17	39031.7707388	475
Pi	0	18	39059.8946012	476
Pi	0	19	39089.57612	477
Pi	0	20	39120.81452	478
Pi	0	21	39153.6089852	479
Pi	0	22	39187.9586588	480
Pi	0	23	39223.8626432	481
Pi	0	24	39261.32	482
Pi	0	25	39300.32975	483
Pi	0	26	39340.8908732	484
Pi	0	27	39383.0023088	485
Pi	0	28	39426.6629552	486
Pi	0	29	39471.87167	487
Pi	0	30	39518.62727	488
Pi	0	31	39566.9285312	489
Pi	0	32	39616.7741888	490
Pi	0	33	39668.1629372	491
Pi	0	34	39721.09343	492
Pi	0	35	39775.56428	493
Pi	0	36	39831.5740592	494
Pi	1	1	39850.36715312	495
Pi	1	2	39853.46141808	496
Pi	1	3	39858.10271232	497
Pi	1	4	39864.290912	498
Pi	1	5	39872.025852	499
Pi	1	6	39881.30732592	500
Pi	0	37	39889.1212988	501
Pi	1	7	39892.13508608	502
Pi	1	8	39904.50884352	503
Pi	1	9	39918.428268	504
Pi	1	10	39933.892988	505
Pi	0	38	39948.2044892	506
Pi	1	11	39950.90259072	507
Pi	1	12	39969.45662208	508
Pi	1	13	39989.55458672	509
Pi	0	39	40008.82208	510
Pi	1	14	40011.195948	511
Pi	1	15	40034.380128	512
Pi	1	16	40059.10650752	513
Pi	0	40	40070.97248	514
Pi	1	17	40085.37442608	515
Pi	1	18	40113.18318192	516
Pi	0	41	40134.6540572	517
Pi	1	19	40142.532032	518
Pi	1	20	40173.420192	519
Pi	0	42	40199.8651388	520
Pi	1	21	40205.84683632	521
Pi	1	22	40239.81109808	522
Pi	0	43	40266.6040112	523
Pi	1	23	40275.31206912	524
Pi	1	24	40312.3488	525
Pi	0	44	40334.86892	526
Pi	1	25	40350.9203	527
Pi	1	26	40391.02553712	528
Pi	0	45	40404.65807	529
Pi	1	27	40432.66343808	530
Pi	1	28	40475.83288832	531
Pi	0	46	40475.9696252	532
Pi	1	29	40520.532732	533
Pi	0	47	40548.8017088	534
Pi	1	30	40566.761772	535
Pi	1	31	40614.51876992	536
Pi	0	48	40623.1524032	537
Pi	1	32	40663.80244608	538
Pi	0	49	40699.01975	539
Pi	1	33	40714.61147952	540
Pi	1	34	40766.944508	541
Pi	0	50	40776.40175	542
Pi	1	35	40820.800128	543
Pi	1	36	40876.17689472	544
Pi	2	1	40885.968333	545
Pi	2	2	40889.024957	546
Pi	2	3	40893.609788	547
Pi	2	4	40899.7227	548
Pi	2	5	40907.363525	549
Pi	2	6	40916.532053	550
Pi	2	7	40927.228032	551
Pi	1	37	40933.07332208	552
Pi	2	8	40939.451168	553
Pi	2	9	40953.201125	554
Pi	2	10	40968.477525	555
Pi	2	11	40985.279948	556
Pi	1	38	40991.48788272	557
Pi	2	12	41003.607932	558
Pi	2	13	41023.460973	559
Pi	2	14	41044.838525	560
Pi	1	39	41051.419008	561
Pi	2	15	41067.74	562
Pi	2	16	41092.164768	563
Pi	1	40	41112.865088	564
Pi	2	17	41118.112157	565
Pi	2	18	41145.581453	566
Pi	2	19	41174.5719	567
Pi	1	41	41175.82447152	568
Pi	2	20	41205.0827	569
Pi	2	21	41237.113013	570
Pi	1	42	41240.29546608	571
Pi	2	22	41270.661957	572
Pi	2	23	41305.728608	573
Pi	1	43	41306.27633792	574
Pi	2	24	41342.312	575
Pi	1	44	41373.765312	576
Pi	2	25	41380.411125	577
Pi	2	26	41420.024933	578
Pi	1	45	41442.760572	579
Pi	2	27	41461.152332	580
Pi	2	28	41503.792188	581
Pi	1	46	41513.26026032	582
Pi	2	29	41547.943325	583
Pi	1	47	41585.26247808	584
