State	Vibr.	J	Energy	Index
Pi	4	5.5	26375.6804972722	996
Pi	4	5.5	26375.6823398687	997
Pi	4	6.5	26394.9689139306	998
Pi	4	6.5	26394.9718503492	999
Pi	4	7.5	26417.223092242	1002
Pi	4	7.5	26417.2274768059	1003
Pi	4	8.5	26442.4423081832	1004
Pi	4	8.5	26442.4485398104	1005
Pi	4	0.5	26448.5928488	1006
Pi	4	0.5	26448.6007768	1007
Pi	4	1.5	26453.1482406631	1010
Pi	4	1.5	26453.1640434912	1011
Pi	4	2.5	26460.7428619212	1012
Pi	4	2.5	26460.7664335665	1013
Pi	4	9.5	26470.6257334757	1016
Pi	4	9.5	26470.6342534895	1017
Pi	4	3.5	26471.3761749977	1018
Pi	4	3.5	26471.40735727	1019
Pi	4	4.5	26485.0474183949	1020
Pi	4	4.5	26485.0860018982	1021
Pi	4	5.5	26501.7556085278	1026
Pi	4	10.5	26501.7724317265	1027
Pi	4	10.5	26501.7837215178	1028
Pi	4	5.5	26501.8013339313	1029
Pi	4	6.5	26521.4995420694	1030
Pi	4	6.5	26521.5521016508	1031
Pi	4	11.5	26535.881354345	1032
Pi	4	11.5	26535.8959329204	1033
Pi	4	7.5	26544.277798758	1034
Pi	4	7.5	26544.3368381941	1035
Pi	4	8.5	26570.0887446168	1038
Pi	4	8.5	26570.1538649896	1039
Pi	4	12.5	26572.9513363015	1040
Pi	4	12.5	26572.9697577521	1041
Pi	4	9.5	26598.9305355243	1044
Pi	4	9.5	26599.0012955105	1045
Pi	4	13.5	26612.9810917911	1048
Pi	4	13.5	26613.0039427149	1049
Pi	4	10.5	26630.8011210735	1050
Pi	4	10.5	26630.8770392822	1051
Pi	4	14.5	26655.9692098629	1054
Pi	4	14.5	26655.9971067729	1055
Pi	4	11.5	26665.698248655	1058
Pi	4	11.5	26665.7788060796	1059
Pi	4	15.5	26701.9141500722	1060
Pi	4	15.5	26701.9477368182	1061
Pi	4	12.5	26703.6194676985	1064
Pi	4	12.5	26703.7041102479	1065
Pi	4	13.5	26744.5621340089	1068
Pi	4	13.5	26744.6502750851	1069
Pi	4	16.5	26750.8142382058	1070
Pi	4	16.5	26750.8541834367	1071
Pi	4	14.5	26788.5234141371	1076
Pi	4	14.5	26788.6144372271	1077
Pi	4	17.5	26802.6676621268	1078
Pi	4	17.5	26802.7146568158	1079
Pi	4	15.5	26835.5002897278	1082
Pi	4	15.5	26835.5935509818	1083
Pi	4	18.5	26857.472467777	1084
Pi	4	18.5	26857.5272228297	1085
Pi	4	16.5	26885.4895617942	1090
Pi	4	16.5	26885.5843925633	1091
Pi	4	19.5	26915.2265553694	1093
Pi	4	19.5	26915.289799331	1095
Pi	4	17.5	26938.4878548732	1098
Pi	4	17.5	26938.5835641842	1099
Pi	4	20.5	26975.9276757974	1102
Pi	4	20.5	26976.0001526718	1103
Pi	4	18.5	26994.491621023	1104
Pi	4	18.5	26994.5874979703	1105
Pi	4	19.5	27053.4971436306	1112
Pi	4	19.5	27053.592459669	1113
Pi	5	1.5	27755.8804072803	1180
Pi	5	1.5	27755.880455823	1181
Pi	5	2.5	27763.2058930879	1184
Pi	5	2.5	27763.206086935	1185
Pi	5	3.5	27773.4611914355	1186
Pi	5	3.5	27773.4616749265	1187
Pi	5	4.5	27786.6459379323	1188
Pi	5	4.5	27786.6469020377	1189
Pi	5	5.5	27802.7596679787	1190
Pi	5	5.5	27802.7613490657	1191
Pi	5	6.5	27821.8018144593	1196
Pi	5	6.5	27821.8044927921	1197
Pi	5	7.5	27843.7717049794	1200
Pi	5	7.5	27843.7757029817	1201
Pi	5	8.5	27868.6685586969	1202
Pi	5	8.5	27868.674239005	1203
Pi	5	0.5	27875.7929196	1204
Pi	5	0.5	27875.8084256	1205
Pi	5	1.5	27880.2866127197	1206
Pi	5	1.5	27880.317576177	1207
Pi	5	2.5	27887.7809149121	1208
Pi	5	2.5	27887.827239065	1209
Pi	5	9.5	27896.4914828072	1212
Pi	5	9.5	27896.4992461485	1213
Pi	5	3.5	27898.2752701645	1214
Pi	5	3.5	27898.3368106735	1215
Pi	5	4.5	27911.7688920677	1218
Pi	5	4.5	27911.8454579623	1219
Pi	5	10.5	27927.2394687431	1220
Pi	5	10.5	27927.2497516714	1221
Pi	5	5.5	27928.2607656213	1222
Pi	5	5.5	27928.3521205344	1223
Pi	5	6.5	27947.7496495407	1228
Pi	5	6.5	27947.8555132079	1229
Pi	5	11.5	27960.9113881536	1230
Pi	5	11.5	27960.9246606774	1231
Pi	5	7.5	27970.2340790206	1232
Pi	5	7.5	27970.3541290183	1233
