ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
204.49177643952925	17446.7153732874	110.12144448	49011.84343112	A	X	F2f	0	7	6.5	B	F1e	2	6	6.5	pQ12(6.5)
204.49206215380636	1814450.79340278	110.18976948	49011.84343112	A	X	F1e	0	7	7.5	B	F1e	2	6	6.5	pP1(7.5)
204.49230375182944	1831890.94275316	110.12144448	49011.71733112	A	X	F2f	0	7	6.5	B	F2f	2	6	5.5	pP2(6.5)
204.52240959675913	13335.6118953244	141.58329012	49035.98082688	A	X	F2f	0	8	7.5	B	F1e	2	7	7.5	pQ12(7.5)
204.5227335033551	1800299.05233676	141.66072512	49035.98082688	A	X	F1e	0	8	8.5	B	F1e	2	7	7.5	pP1(8.5)
204.52301821657346	1813627.02668808	141.58329012	49035.83532688	A	X	F2f	0	8	7.5	B	F2f	2	7	6.5	pP2(7.5)
204.55508823447505	10523.0697126996	176.974568	49063.56099472	A	X	F2f	0	9	8.5	B	F1e	2	8	8.5	pQ12(8.5)
204.55545036349133	1788912.35027256	177.061113	49063.56099472	A	X	F1e	0	9	9.5	B	F1e	2	8	8.5	pP1(9.5)
204.55577822431263	1799426.7117377	176.974568	49063.39609472	A	X	F2f	0	9	8.5	B	F2f	2	8	7.5	pP2(8.5)
204.5898153622141	8514.33833149729	216.293913	49094.582318	A	X	F2f	0	10	9.5	B	F1e	2	9	9.5	pQ12(9.5)
204.59021574605987	1779486.26385748	216.389568	49094.582318	A	X	F1e	0	10	10.5	B	F1e	2	9	9.5	pP1(10.5)
204.59058678949552	1787990.82411935	216.293913	49094.398018	A	X	F2f	0	10	9.5	B	F2f	2	9	8.5	pP2(9.5)
211.28568195766925	2195397.60505526	141.66072512	47470.944505	A	X	F1e	0	8	8.5	B	F1e	1	9	9.5	rR1(8.5)
211.28612047768883	2181035.02096361	110.18976948	47439.3753184	A	X	F1e	0	7	7.5	B	F1e	1	8	8.5	rR1(7.5)
211.28621415431388	2181032.11999002	141.58329012	47470.747855	A	X	F2f	0	8	7.5	B	F2f	1	9	8.5	rR2(7.5)
211.2865598391556	14348.8250979053	141.66072512	47470.747855	A	X	F1e	0	8	8.5	B	F2f	1	9	8.5	rQ21(8.5)
211.28660093641977	2162844.97434168	110.12144448	47439.1993684	A	X	F2f	0	7	6.5	B	F2f	1	8	7.5	rR2(6.5)
211.2869059535146	18175.0891378514	110.18976948	47439.1993684	A	X	F1e	0	7	7.5	B	F2f	1	8	7.5	rQ21(7.5)
211.28715897181158	2206967.18098736	177.061113	47506.014035	A	X	F1e	0	9	9.5	B	F1e	1	10	10.5	rR1(9.5)
211.28774291655375	2195333.36214175	176.974568	47505.796685	A	X	F2f	0	9	8.5	B	F2f	1	10	9.5	rR2(8.5)
211.2881292758657	11615.4567146634	177.061113	47505.796685	A	X	F1e	0	9	9.5	B	F2f	1	10	9.5	rQ21(9.5)
211.28847211394083	2162787.5121761	82.64945952	47411.3082356	A	X	F1e	0	6	6.5	B	F1e	1	7	7.5	rR1(6.5)
211.28890084211773	2139007.59554739	82.59024452	47411.1529856	A	X	F2f	0	6	5.5	B	F2f	1	7	6.5	rR2(5.5)
211.28916519597072	23766.6618546352	82.64945952	47411.1529856	A	X	F1e	0	6	6.5	B	F2f	1	7	6.5	rQ21(6.5)
211.29273474838377	2138891.16079399	59.040857	47386.7448214	A	X	F1e	0	5	5.5	B	F1e	1	6	6.5	rR1(5.5)
211.29311175054798	2106472.4434305	58.990752	47386.6102714	A	X	F2f	0	5	4.5	B	F2f	1	6	5.5	rR2(4.5)
211.29333544345033	32407.1654333954	59.040857	47386.6102714	A	X	F1e	0	5	5.5	B	F2f	1	6	5.5	rQ21(5.5)
211.2989065624967	2106299.13997441	39.364872	47365.686445	A	X	F1e	0	4	4.5	B	F1e	1	5	5.5	rR1(4.5)
211.29923184037645	2059482.98117349	39.323877	47365.572595	A	X	F2f	0	4	3.5	B	F2f	1	5	4.5	rR2(3.5)
211.29941487240933	46806.3097562423	39.364872	47365.572595	A	X	F1e	0	4	4.5	B	F2f	1	5	4.5	rQ21(4.5)
211.30698603697968	2059256.26292508	23.62226292	47348.13428	A	X	F1e	0	3	3.5	B	F1e	1	4	4.5	rR1(3.5)
211.30725958949415	1985703.68446142	23.59037792	47348.04113	A	X	F2f	0	3	2.5	B	F2f	1	4	3.5	rR2(2.5)
211.3074019585318	73544.432253389	23.62226292	47348.04113	A	X	F1e	0	3	3.5	B	F2f	1	4	3.5	rQ21(3.5)
211.3169719515211	1985429.90162471	11.81363648	47334.0893044	A	X	F1e	0	2	2.5	B	F1e	1	3	3.5	rR1(2.5)
211.31719377478413	1853062.07259821	11.79086148	47334.0168544	A	X	F2f	0	2	1.5	B	F2f	1	3	2.5	rR2(1.5)
211.3172954764962	132361.385507332	11.81363648	47334.0168544	A	X	F1e	0	2	2.5	B	F2f	1	3	2.5	rQ21(2.5)
211.32886338463297	1852755.11049686	3.93944772	47323.5523006	A	X	F1e	0	1	1.5	B	F1e	1	2	2.5	rR1(1.5)
211.3290334719552	1543958.86412748	3.92578272	47323.5005506	A	X	F2f	0	1	0.5	B	F2f	1	2	1.5	rR2(0.5)
211.3290944998087	308791.505305868	3.93944772	47323.5005506	A	X	F1e	0	1	1.5	B	F2f	1	2	1.5	rQ21(1.5)
211.34265971355268	1543660.24481253	0	47316.5238554	A	X	F1e	0	0	0.5	B	F1e	1	1	1.5	rR1(0.5)
211.3427984007037	1543657.20587717	0	47316.4928054	A	X	F1e	0	0	0.5	B	F2f	1	1	0.5	rQ21(0.5)
211.37591981769143	1542931.67238721	3.92578272	47313.00436	A	X	F2f	0	1	0.5	B	F1e	1	0	0.5	pQ12(0.5)
211.3759808726277	3085860.67076481	3.93944772	47313.00436	A	X	F1e	0	1	1.5	B	F1e	1	0	0.5	pP1(1.5)
211.39533757193564	308501.306539401	11.79086148	47316.5238554	A	X	F2f	0	2	1.5	B	F1e	1	1	1.5	pQ12(1.5)
211.395439348879	2776507.74857778	11.81363648	47316.5238554	A	X	F1e	0	2	2.5	B	F1e	1	1	1.5	pP1(2.5)
211.3954763282318	3085006.99055202	11.79086148	47316.4928054	A	X	F2f	0	2	1.5	B	F2f	1	1	0.5	pP2(1.5)
211.41666068033493	132174.844831845	23.59037792	47323.5523006	A	X	F2f	0	3	2.5	B	F1e	1	2	2.5	pQ12(2.5)
211.41680319682956	2643491.5506807	23.62226292	47323.5523006	A	X	F1e	0	3	3.5	B	F1e	1	2	2.5	pP1(3.5)
211.41689198758584	2775662.63104775	23.59037792	47323.5005506	A	X	F2f	0	3	2.5	B	F2f	1	2	1.5	pP2(2.5)
211.43989000961506	73406.270230015	39.323877	47334.0893044	A	X	F2f	0	4	3.5	B	F1e	1	3	3.5	pQ12(3.5)
211.44007328541156	2569212.77707477	39.364872	47334.0893044	A	X	F1e	0	4	4.5	B	F1e	1	3	3.5	pP1(4.5)
211.4402139110735	2642613.58372676	39.323877	47334.0168544	A	X	F2f	0	4	3.5	B	F2f	1	3	2.5	pP2(3.5)
211.4650267260387	46696.4247707236	58.990752	47348.13428	A	X	F2f	0	5	4.5	B	F1e	1	4	4.5	pQ12(4.5)
211.46525078309705	2521598.92235559	59.040857	47348.13428	A	X	F1e	0	5	5.5	B	F1e	1	4	4.5	pP1(5.5)
211.46544326997608	2568288.18531305	58.990752	47348.04113	A	X	F2f	0	5	4.5	B	F2f	1	4	3.5	pP2(4.5)
211.492072295775	32315.8932479758	82.59024452	47365.686445	A	X	F2f	0	6	5.5	B	F1e	1	5	5.5	pQ12(5.5)
211.49233715826816	2488314.4313467	82.64945952	47365.686445	A	X	F1e	0	6	6.5	B	F1e	1	5	5.5	pP1(6.5)
211.49258153548945	2520621.46551571	82.59024452	47365.572595	A	X	F2f	0	6	5.5	B	F2f	1	5	4.5	pP2(5.5)
211.52102848533605	23688.5904960331	110.12144448	47386.7448214	A	X	F2f	0	7	6.5	B	F1e	1	6	6.5	pQ12(6.5)
211.52133417965442	2463602.73023177	110.18976948	47386.7448214	A	X	F1e	0	7	7.5	B	F1e	1	6	6.5	pP1(7.5)
211.52163047916193	2487280.76544422	110.12144448	47386.6102714	A	X	F2f	0	7	6.5	B	F2f	1	6	5.5	pP2(6.5)
211.5518973620813	18106.8759165445	141.58329012	47411.3082356	A	X	F2f	0	8	7.5	B	F1e	1	7	7.5	pQ12(7.5)
211.55224391683757	2444416.23571725	141.66072512	47411.3082356	A	X	F1e	0	8	8.5	B	F1e	1	7	7.5	pP1(8.5)
211.55259217340026	2462510.86129821	141.58329012	47411.1529856	A	X	F2f	0	8	7.5	B	F2f	1	7	6.5	pP2(7.5)
211.5846812947894	14288.2583094017	176.974568	47439.3753184	A	X	F2f	0	9	8.5	B	F1e	1	8	8.5	pQ12(8.5)
211.5850687408244	2428990.56894104	177.061113	47439.3753184	A	X	F1e	0	9	9.5	B	F1e	1	8	8.5	pP1(9.5)
211.58546899204302	2443264.88310701	176.974568	47439.1993684	A	X	F2f	0	9	8.5	B	F2f	1	8	7.5	pP2(8.5)
211.61938295429817	11560.9960646135	216.293913	47470.944505	A	X	F2f	0	10	9.5	B	F1e	1	9	9.5	pQ12(9.5)
211.61981132468708	2416233.50429755	216.389568	47470.944505	A	X	F1e	0	10	10.5	B	F1e	1	9	9.5	pP1(10.5)
211.62026361100214	2427778.86374656	216.293913	47470.747855	A	X	F2f	0	10	9.5	B	F2f	1	9	8.5	pP2(9.5)
213.80988105524315	720690.727409734	2293.0378054	49063.56099472	A	X	F1e	1	7	7.5	B	F1e	2	8	8.5	rR1(7.5)
213.81032460270274	714680.52353594	2292.9699304	49063.39609472	A	X	F2f	1	7	6.5	B	F2f	2	8	7.5	rR2(6.5)
213.81054566131795	725425.349022474	2324.2045096	49094.582318	A	X	F1e	1	8	8.5	B	F1e	2	9	9.5	rR1(8.5)
213.81063489273072	6005.69253803999	2293.0378054	49063.39609472	A	X	F1e	1	7	7.5	B	F2f	2	8	7.5	rQ21(7.5)
213.81103652671445	720679.043264401	2324.1275846	49094.398018	A	X	F2f	1	8	7.5	B	F2f	2	9	8.5	rR2(7.5)
213.81128024876986	714670.940619012	2265.7637066	49035.98082688	A	X	F1e	1	6	6.5	B	F1e	2	7	7.5	rR1(6.5)
213.81138819115608	4741.28610051498	2324.2045096	49094.398018	A	X	F1e	1	8	8.5	B	F2f	2	9	8.5	rQ21(8.5)
