State	Vibr.	J	Energy	Index
Pi	1	9.5	22032.5446802499	448
Pi	1	9.5	22032.5518172729	449
Pi	1	4.5	22043.0357346602	452
Pi	1	4.5	22043.0976365407	453
Pi	1	5.5	22060.3997098311	454
Pi	1	5.5	22060.4735097163	455
Pi	1	10.5	22064.8808181335	456
Pi	1	10.5	22064.8902664214	457
Pi	1	6.5	22080.9188806871	458
Pi	1	6.5	22081.0043210931	459
