Upper State	Lower State	Upper Vib	Lower Vib	Band Lum. (J/s/mol)
B	X	2	0	2.7362223790247753e-24
B	X	1	0	5.69792950834696e-23
B	X	2	1	6.383830474205969e-24
B	X	0	0	1.6150172563981369e-22
B	X	1	1	1.0451893556859875e-23
B	X	2	2	4.469614337455415e-25
B	X	0	1	9.81100379124346e-23
B	X	1	2	5.2553224184421606e-23
B	X	0	2	2.843765967209648e-23
