Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
204.3240663630725	204.38965014599643	5.415723101613528e-27	128466.301198621	23.59037792	48949.74682888	A	X	F2f	0	3	2.5	B	F1e	2	2	2.5	pQ12(2.5)
204.32419953860307	204.3897833460823	1.0831417967996665e-25	2569321.00071413	23.62226292	48949.74682888	A	X	F1e	0	3	3.5	B	F1e	2	2	2.5	pP1(3.5)
204.32426893529845	204.38985275557334	8.460635586925e-26	2697784.30229692	23.59037792	48949.69832888	A	X	F2f	0	3	2.5	B	F2f	2	2	1.5	pP2(2.5)
204.34653685424766	204.41212478089795	3.769831601008871e-27	71346.628971957	39.323877	48960.10101152	A	X	F2f	0	4	3.5	B	F1e	2	3	3.5	pQ12(3.5)
204.34670811761117	204.41229607584802	1.319436637658176e-25	2497125.73632748	39.364872	48960.10101152	A	X	F1e	0	4	4.5	B	F1e	2	3	3.5	pP1(4.5)
204.3468205178354	204.4124084968025	1.1326549273552602e-25	2568467.94818133	39.323877	48960.03311152	A	X	F2f	0	4	3.5	B	F2f	2	3	2.5	pP2(3.5)
204.37104375711544	204.43663620428174	2.393915666927098e-27	45386.0713221109	58.990752	48973.902412	A	X	F2f	0	5	4.5	B	F1e	2	4	4.5	pQ12(4.5)
204.3712531292354	204.43684561502792	1.292709163485167e-25	2450840.31997248	59.040857	48973.902412	A	X	F1e	0	5	5.5	B	F1e	2	4	4.5	pP1(5.5)
204.37140855503918	204.43700106950564	1.3272831738591442e-25	2496220.55741551	58.990752	48973.815112	A	X	F2f	0	5	4.5	B	F2f	2	4	3.5	pP2(4.5)
204.39758874347427	204.46318608858064	1.4121705508803933e-27	31408.8876329631	82.59024452	48991.150222	A	X	F2f	0	6	5.5	B	F1e	2	5	5.5	pQ12(5.5)
204.39783624755765	204.46343363833938	1.0873660581405405e-25	2418475.56336315	82.64945952	48991.150222	A	X	F1e	0	6	6.5	B	F1e	2	5	5.5	pP1(6.5)
204.3980347235693	204.4636321509787	1.2276362971802997e-25	2449877.20118172	82.59024452	48991.043522	A	X	F2f	0	6	5.5	B	F2f	2	5	4.5	pP2(5.5)
204.42617381833605	204.49177643952925	8.039405683316291e-28	23023.5246861564	110.12144448	49011.84343112	A	X	F2f	0	7	6.5	B	F1e	2	6	6.5	pQ12(6.5)
204.4264594798782	204.49206215380636	8.360935183223481e-26	2394436.53088343	110.18976948	49011.84343112	A	X	F1e	0	7	7.5	B	F1e	2	6	6.5	pP1(7.5)
204.42670103330883	204.49230375182944	1.0684579221839154e-25	2417451.39072997	110.12144448	49011.71733112	A	X	F2f	0	7	6.5	B	F2f	2	6	5.5	pP2(6.5)
204.456801320521	204.52240959675913	3.73477280087089e-28	17598.3148178768	141.58329012	49035.98082688	A	X	F2f	0	8	7.5	B	F1e	2	7	7.5	pQ12(7.5)
204.45712516731118	204.5227335033551	5.041911341160468e-26	2375761.21276111	141.66072512	49035.98082688	A	X	F1e	0	8	8.5	B	F1e	2	7	7.5	pP1(8.5)
204.4574098279602	204.52301821657346	7.593344691001854e-26	2393349.44870861	141.58329012	49035.83532688	A	X	F2f	0	8	7.5	B	F2f	2	7	6.5	pP2(7.5)
204.4894739233344	204.55508823447505	1.4645923820703545e-28	13886.7488877267	176.974568	49063.56099472	A	X	F2f	0	9	8.5	B	F1e	2	8	8.5	pQ12(8.5)
204.4898359854618	204.55545036349133	2.4897894185255254e-26	2360734.77308695	177.061113	49063.56099472	A	X	F1e	0	9	9.5	B	F1e	2	8	8.5	pP1(9.5)
204.49016378572367	204.55577822431263	4.128847135715609e-26	2374610.03015239	176.974568	49063.39609472	A	X	F2f	0	9	8.5	B	F2f	2	8	7.5	pP2(8.5)
204.52419463532485	204.5898153622141	5.273415173527214e-29	11235.9303494832	216.293913	49094.582318	A	X	F2f	0	10	9.5	B	F1e	2	9	9.5	pQ12(9.5)
204.52459494518547	204.59021574605987	1.1021351436939754e-26	2348295.65611691	216.389568	49094.582318	A	X	F1e	0	10	10.5	B	F1e	2	9	9.5	pP1(10.5)
