Upper State	Lower State	Upper Vib	Lower Vib	Band Lum. (J/s/mol)
B	X	2	0	2.7361009941900346e-24
B	X	1	0	5.697816759530042e-23
B	X	2	1	6.383588251827722e-24
B	X	0	0	1.615072754061692e-22
B	X	1	1	1.0451686807955729e-23
B	X	2	2	4.469444788280758e-25
B	X	0	1	9.811341027357504e-23
B	X	1	2	5.255218501807247e-23
B	X	0	2	2.8438637475262485e-23
