ritz (vac nm)	Aki	Ei	Ek	Acc	Lower Electronic State	Lower Spin state	Lower Vib	Lower N	J_i	Upper Electronic State	Upper Spin State	Upper Vib	Upper N	J_k	Band
377.8952980770822	53623.3550734297	39.364872	26501.7211142844	A	X	F1e	0	4	4.5	Pi	F2e	4	6	5.5	sR21(4.5)
377.9061132380594	52055.9874251045	82.64945952	26544.2483850197	A	X	F1e	0	6	6.5	Pi	F2e	4	8	7.5	sR21(6.5)
377.90911761277727	53875.5876742807	23.62226292	26485.010818902	A	X	F1e	0	3	3.5	Pi	F2e	4	5	4.5	sR21(3.5)
377.930770360868	51005.0933599086	110.18976948	26570.0622758956	A	X	F1e	0	7	7.5	Pi	F2e	4	9	8.5	sR21(7.5)
377.93574616381244	53350.9133244362	11.81363648	26471.3377791516	A	X	F1e	0	2	2.5	Pi	F2e	4	4	3.5	sR21(2.5)
377.96828126511633	49861.2234563322	141.66072512	26598.9072605396	A	X	F1e	0	8	8.5	Pi	F2e	4	10	9.5	sR21(8.5)
377.97518140886945	51104.444466201	3.93944772	26460.7029916275	A	X	F1e	0	1	1.5	Pi	F2e	4	3	2.5	sR21(1.5)
378.02742464794966	43680.1182303167	0	26453.1072297541	A	X	F1e	0	0	0.5	Pi	F2e	4	2	1.5	sR21(0.5)
378.0833230844902	50439.1830720366	3.92578272	26453.1220033248	A	X	F2f	0	1	0.5	Pi	F2f	4	2	1.5	rR2(0.5)
378.0835184216655	144993.584416097	3.93944772	26453.1220033248	A	X	F1e	0	1	1.5	Pi	F2f	4	2	1.5	rQ21(1.5)
378.0870687035861	61888.1045769611	11.79086148	26460.7250561584	A	X	F2f	0	2	1.5	Pi	F2f	4	3	2.5	rR2(1.5)
378.08739427210776	135756.745489404	11.81363648	26460.7250561584	A	X	F1e	0	2	2.5	Pi	F2f	4	3	2.5	rQ21(2.5)
378.0924400746189	188026.090105998	0	26448.55844784	A	X	F1e	0	0	0.5	Pi	F2f	4	1	0.5	rQ21(0.5)
378.1036166177991	67751.0108351113	23.59037792	26471.3670203433	A	X	F2f	0	3	2.5	Pi	F2f	4	4	3.5	rR2(2.5)
378.1040724537853	130367.453473923	23.62226292	26471.3670203433	A	X	F1e	0	3	3.5	Pi	F2f	4	4	3.5	rQ21(3.5)
378.13297527022655	71736.4558113194	39.323877	26485.0470854921	A	X	F2f	0	4	3.5	Pi	F2f	4	5	4.5	rR2(3.5)
378.13356143628556	126062.126900007	39.364872	26485.0470854921	A	X	F1e	0	4	4.5	Pi	F2f	4	5	4.5	rQ21(4.5)
378.14867490138795	187942.21799717	3.92578272	26448.55104184	A	X	F2f	0	1	0.5	Pi	F2e	4	1	0.5	qQ2(0.5)
378.14887030609725	93970.9633227216	3.93944772	26448.55104184	A	X	F1e	0	1	1.5	Pi	F2e	4	1	0.5	qP21(1.5)
378.1751567203015	74853.497776153	58.990752	26501.7642189943	A	X	F2f	0	5	4.5	Pi	F2f	4	6	5.5	rR2(4.5)
378.17587330557785	122197.094042645	59.040857	26501.7642189943	A	X	F1e	0	5	5.5	Pi	F2f	4	6	5.5	rQ21(5.5)
378.19599677717287	155700.103629515	11.79086148	26453.1072297541	A	X	F2f	0	2	1.5	Pi	F2e	4	2	1.5	qQ2(1.5)
378.1963225333163	82485.4639700646	11.81363648	26453.1072297541	A	X	F1e	0	2	2.5	Pi	F2e	4	2	1.5	qP21(2.5)
378.2301766134795	77488.3522708005	82.59024452	26521.5171686908	A	X	F2f	0	6	5.5	Pi	F2f	4	7	6.5	rR2(5.5)
378.23102373371756	118558.234932193	82.64945952	26521.5171686908	A	X	F1e	0	6	6.5	Pi	F2f	4	7	6.5	rQ21(6.5)
378.2561335694071	154114.406697082	23.59037792	26460.7029916275	A	X	F2f	0	3	2.5	Pi	F2e	4	3	2.5	qQ2(2.5)
378.25658977321194	76567.7909326129	23.62226292	26460.7029916275	A	X	F1e	0	3	3.5	Pi	F2e	4	3	2.5	qP21(3.5)
378.2610702058553	93887.3670471943	11.79086148	26448.55844784	A	X	F2f	0	2	1.5	Pi	F2f	4	1	0.5	pP2(1.5)
378.29805414670716	79819.7395483557	110.12144448	26544.3044660028	A	X	F2f	0	7	6.5	Pi	F2f	4	8	7.5	rR2(6.5)
378.29903194433143	115059.235865483	110.18976948	26544.3044660028	A	X	F1e	0	7	7.5	Pi	F2f	4	8	7.5	rQ21(7.5)
378.32909883518136	155815.66544615	39.323877	26471.3377791516	A	X	F2f	0	4	3.5	Pi	F2e	4	4	3.5	qQ2(3.5)
378.32968560944374	72509.5080083377	39.364872	26471.3377791516	A	X	F1e	0	4	4.5	Pi	F2e	4	4	3.5	qP21(4.5)
378.36463172081807	86433.4733175232	23.59037792	26453.1220033248	A	X	F2f	0	3	2.5	Pi	F2f	4	2	1.5	pP2(2.5)
378.3788120304249	81941.0578609521	141.58329012	26570.1244294582	A	X	F2f	0	8	7.5	Pi	F2f	4	9	8.5	rR2(7.5)
378.3799206746366	111661.25898136	141.66072512	26570.1244294582	A	X	F1e	0	8	8.5	Pi	F2f	4	9	8.5	rQ21(8.5)
378.4149098003894	158356.773451059	58.990752	26485.010818902	A	X	F2f	0	5	4.5	Pi	F2e	4	5	4.5	qQ2(4.5)
378.41562729454694	69301.710319555	59.040857	26485.010818902	A	X	F1e	0	5	5.5	Pi	F2e	4	5	4.5	qP21(5.5)
378.47247644797204	83905.4031720825	176.974568	26598.9751685501	A	X	F2f	0	9	8.5	Pi	F2f	4	10	9.5	rR2(8.5)
378.4737161348624	108345.847874228	177.061113	26598.9751685501	A	X	F1e	0	9	9.5	Pi	F2f	4	10	9.5	rQ21(9.5)
378.4810628396253	84142.6327237504	39.323877	26460.7250561584	A	X	F2f	0	4	3.5	Pi	F2f	4	3	2.5	pP2(3.5)
378.5135873430487	161178.938652588	82.59024452	26501.7211142844	A	X	F2f	0	6	5.5	Pi	F2e	4	6	5.5	qQ2(5.5)
378.51443573327094	66558.3684143419	82.64945952	26501.7211142844	A	X	F1e	0	6	6.5	Pi	F2e	4	6	5.5	qP21(6.5)
378.6103869792873	83558.7586419555	58.990752	26471.3670203433	A	X	F2f	0	5	4.5	Pi	F2f	4	4	3.5	pP2(4.5)
378.6251559714206	164095.464149701	110.12144448	26521.4674480055	A	X	F2f	0	7	6.5	Pi	F2e	4	7	6.5	qQ2(6.5)
